IPID,TTL,SRCIP,DSTIP,SPORT,DPORT,TSEQ,WINDS
44392,50,624251294,3390658549,50666,2323,1466123733,5840
53794,48,2794340051,3390658177,36802,2323,1969980463,14600
11889,44,1492727418,3390658203,56311,2323,835142459,14600
38332,51,2499770426,3390658225,41636,2323,3847704423,5840
47752,56,1294120338,3390658244,35869,2323,4061939752,5808
60166,49,3204036205,3390657742,58012,2323,2699268432,14600
14401,52,243127836,3390657818,55886,2323,2428451693,14600
60099,49,453156416,3390658522,41059,2323,2645030913,14600
28362,53,246460100,3390656628,40414,2323,284348331,14600
63236,53,1907881829,3390657994,49456,2323,963011113,14600
13458,53,1968649109,3390658177,40874,2323,3503096013,5040
36410,51,1943279535,3390657975,58171,2323,565575872,14600
13260,50,3155821147,3390657856,57340,2323,2495336367,14600
23263,52,2004467316,3390657473,4361,2323,2648549816,14600
33171,55,1989107222,3390658224,35006,2323,1963296936,5840
40850,44,1293791109,3390658282,50690,2323,347027881,14600
1098,52,1900631785,3390656688,53638,2323,3538452557,14600
29460,52,1900631785,3390656688,53639,2323,3664770847,14600
16493,49,3695562921,3390658258,52466,2323,3712035747,5840
20786,52,1900631785,3390656688,53636,2323,3871003952,14600
56722,49,3695562921,3390658258,53042,2323,3724259735,5840
23462,53,1907881829,3390657994,49473,2323,2486094973,14600
52987,46,2959950858,3390656777,41633,2323,1221686337,14600
26514,52,20242797,3390658128,33492,2323,3784135644,14600
3225,52,1953302659,3390658233,50437,2323,3281546693,14600
40891,49,2064673925,3390656979,39533,2323,3527584907,14600
94,53,1996234117,3390657772,58781,2323,3899535018,5440
34691,53,2065163399,3390656882,58251,2323,1263192083,14600
13789,49,245514517,3390657832,45362,2323,2486648914,14600
32062,49,1549164182,3390657412,43037,2323,679639012,14600
24188,47,1370987788,3390658529,52591,2323,1969509446,14600
60842,39,1441408185,3390657312,39058,2323,2397494255,14600
18997,45,3393651742,3390657847,49071,2323,2805959695,4380
33929,53,1914839188,3390658192,37534,2323,4158649731,14520
2178,50,246530977,3390658032,42260,2323,1948110145,14600
15527,53,1757274962,3390658172,36441,2323,2725492226,14600
28328,46,3172770361,3390658187,60744,2323,1970794232,14600
47533,52,1028828575,3390657953,58748,2323,560570738,14600
51298,55,609414689,3390656578,52699,2323,3347581818,14600
61467,49,3695562921,3390658258,42247,2323,3942023634,5840
7518,52,3729720140,3390658132,50439,2323,2389762484,14600
63340,54,3151376320,3390658015,42908,2323,245720837,14600
